Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Art
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1982185848""","=""9781982185848""",0,4.67,Simon & Schuster,ebook,320,2022,2022,,2022/09/24,to-read,to-read (#496),to-read,,,,0,0,
8160689,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,"Chapman, Gary",,"=""""","=""""",0,4.26,,Kindle Edition,172,,1990,,2022/09/21,to-read,to-read (#495),to-read,,,,0,0,
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.25,William Morrow,Mass Market Paperback,491,2006,1990,,2019/06/21,currently-reading,currently-reading (#3),currently-reading,,,,1,0,
29241319,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Jim Kay,"=""1526609207""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,259,2016,1998,,2022/09/18,,,read,,,,1,0,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2021/02/26,,,read,,,,1,0,
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",Ellen Karine Berg,"=""""","=""""",0,4.22,MTV Books/Pocket Books,Paperback,213,1999,1999,,2020/05/05,did-not-finish,did-not-finish (#11),did-not-finish,,,,0,0,
25733573,Reasons to Stay Alive,Matt Haig,"Haig, Matt",,"=""0143128728""","=""9780143128724""",4,4.10,Penguin Books,Paperback,256,2016,2015,2022/09/14,2022/09/14,,,read,,,,1,0,
895126,"Fallout: J. Robert Oppenheimer, Leo Szilard, and the Political Science of the Atomic Bomb",Jim Ottaviani,"Ottaviani, Jim","Janine Johnston, Jeffrey Jones, Chris Kemple","=""0966010639""","=""9780966010633""",0,3.51,G.T. Labs,Paperback,240,2013,2001,,2022/09/13,to-read,to-read (#494),to-read,,,,0,0,
23013953,Gut: The Inside Story of Our Body’s Most Underrated Organ,Giulia Enders,"Enders, Giulia",Jill Enders,"=""1771641495""","=""9781771641494""",0,4.06,Greystone Books,Paperback,273,2015,2014,,2022/09/13,to-read,to-read (#493),to-read,,,,0,0,
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",3,4.03,Viking,Hardcover,288,2020,2020,2021/07/12,2021/02/24,,,read,"This was a pleasant read, but a little predictable at times.<br/><br/>Nora Seed has had a series of unfortunate events in her life (losing her job, friends drifting apart, cat dying), and decides to take her life. She OD's and ends up in The Midnight Library where she is given a chance to live out other versions of her life by a mystical librarian from her past, the various books representing the alternate realities. It was rather nice to see how she sees herself in various other lives, each of them representing a desire, a ""what would have been."" However, the one thing that made me roll my eyes a bit is that after noticing something small or large not according to her expectations, she quickly grows weary of the life and heads back to the library, almost as if the chapter is being quickly ended by the author (this is my imagination and is not featured in the novel). Also, the various references to quasi-science of quantum universes felt unnecessary. <br/><br/>The novel redeemed itself in the third act where Nora goes to a seemingly perfect life, and understands how much impact she has had on everyone by the doing (or the lack of doing) of a certain thing, big or small. The protagonist almost becomes incidental to the narration as the author inserts a lot of life lessons, that actually read quite well and don't come across as hackneyed. Finally, Nora ultimately goes back to her life and all is well!<br/><br/>Almost well. Since this is a semi sci-fi novel, I wished the cat would return; just as the only change in her old life, a small gift from the librarian perhaps.",true,,1,0,
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.75,Picador,Paperback,213,2019,2015,,2022/09/09,to-read,to-read (#492),to-read,,,,0,0,
52908942,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"Gates, Bill",,"=""0385546130""","=""9780385546133""",4,4.15,Knopf Publishing Group,Hardcover,288,2021,2021,2022/09/08,2022/08/21,,,read,,,,1,0,
37732,"Are You There God? It's Me, Margaret",Judy Blume,"Blume, Judy",,"=""0689841582""","=""9780689841583""",0,3.91,Richard Jackson/Athaneum Books for Young Readers,Hardcover,149,2001,1970,,2022/09/08,to-read,to-read (#491),to-read,,,,0,0,
55145261,The Anthropocene Reviewed,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",0,4.38,Dutton,Hardcover,293,2021,2021,,2022/09/08,to-read,to-read (#490),to-read,,,,0,0,
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374159122""","=""9780374159122""",4,4.27,"Farrar, Straus and Giroux",Hardcover,288,2021,2021,2022/08/22,2022/07/01,,,read,"A surprisingly philosophical look into what is important enough to put time into, and what we end up wasting our time on. It is great that the author hasn't written the book as a list of life hacks, but as a serious take on what really matters in life.<br/><br/>The author has narrated the audiobook and he has done a great job at it.",,,1,0,
4687,The Cider House Rules,John Irving,"Irving, John",麥倩宜,"=""0786226749""","=""9780786226740""",0,4.15,Thorndike Press,Hardcover,973,2000,1985,,2020/05/05,currently-reading,currently-reading (#2),currently-reading,,,,1,0,
